ISSN,Ejis 2007,EjisCI 2007,Wie 2008,HEC 2011,UQ 2011,ABS 2015,Vhb 2015,Abdc 2016,Ess 2016,Fnege 2016,Cnrs 2017,Den 2017,Hceres 2017
1094-4281,2,2,,,2,2,2,1,,2,3,1,1
1286-4692,,,,3,,5,6,3,4,3,3,2,1
1350-5076,3,3,,3,3,3,4,2,4,3,4,1,1
1368-4892,4,4,,,4,5,8,4,,,,2,
1439-2917,3,3,2,,,,4,,,,,2,
1441-3523,,,,,,4,,2,,,,2,
1460-8545,3,3,,,2,3,4,2,3,3,3,1,1
1472-0701,,,,,,4,6,4,,,,2,
1476-1270,4,4,,2,1,3,4,2,4,4,4,1,2
1532-9194,2,2,2,,2,3,6,2,3,3,,1,1
1537-260X,3,3,,3,1,2,4,1,3,3,4,1,
1558-9080,,,,,2,3,4,2,4,2,,1,1
1740-4754,,,,3,,3,4,4,,3,3,2,1
1740-8776,,,,,3,3,6,2,,,,2,
1751-1348,,,,,,5,,2,,,,,
1754-2413,4,4,,,,5,,4,,,,2,
1833-3672,,,,,3,,,3,,,,2,
1932-4391,,,,3,,2,2,2,3,3,3,1,1
1941-6520,,,,3,,,2,1,3,2,3,1,1
2042-5791,,,,,,3,4,2,,4,,2,2
2168-1007,,,,,,,,2,,,,2,
8756-9728,3,3,,,3,5,6,3,,,,2,
2049-8799,,,,,,,,3,5,,,2,
0020-8825,3,3,2,4,3,4,6,3,4,4,4,2,2
0047-2506,1,1,2,1,1,1,2,1,2,2,2,1,1
0217-4561,3,3,,,3,3,6,2,4,4,5,1,3
0938-8249,3,3,2,3,2,3,4,2,3,4,4,2,2
0964-8410,4,4,,2,2,3,6,2,3,4,4,1,2
0966-8136,,,,,,4,,4,,5,4,1,2
0969-5931,3,3,,,3,3,4,2,3,3,4,1,1
1059-9231,4,4,,,3,5,,4,,,,2,
1066-9868,4,4,,,4,5,,4,,,,2,
1069-3971,4,4,,,,,6,,,,,2,
1075-4253,3,3,2,,3,3,4,2,,4,4,1,2
1090-9516,2,2,2,,2,2,4,2,3,3,3,1,1
1096-4762,4,4,,,3,4,6,3,4,5,5,2,3
1360-2381,4,4,,,3,4,6,3,,4,4,2,2
1525-383X,4,4,,,4,4,6,4,,5,5,,3
1742-2043,,,,,3,4,,3,,5,5,2,3
1751-6757,,,,,,5,4,4,4,5,5,2,
0016-3287,2,3,,,3,4,,3,,4,,2,2
0033-6807,3,3,2,2,2,3,4,2,4,3,4,2,1
0040-1625,4,4,,,2,3,4,2,3,3,3,2,1
0138-9130,,,,,2,4,,2,,,,1,
0162-2439,2,2,,,2,4,,2,,,,1,
0166-4972,4,4,,,2,3,6,2,,4,4,2,2
0267-5730,3,3,,3,3,4,6,3,4,4,4,1,2
0302-3427,3,3,,,3,4,,4,,,,1,
0306-3127,2,2,,,,4,,,,,,1,
0737-6782,2,2,2,2,1,2,2,1,4,2,2,1,1
0923-4748,3,3,,,2,4,6,3,4,4,4,2,2
0963-1690,4,4,,3,4,4,6,4,4,4,4,1,2
0963-6625,3,3,,,2,,,,,,,1,
1047-8310,3,3,,,4,4,6,4,,5,5,2,3
1363-9196,3,3,,3,3,4,4,3,,5,5,2,3
1366-2716,4,4,,,3,4,4,4,,4,4,1,2
1460-1060,4,4,,,4,5,6,4,,5,5,2,3
0019-8501,3,3,,3,2,3,4,1,4,3,3,1,1
0021-8499,3,3,2,3,2,3,6,2,3,3,4,2,1
0022-0078,3,3,2,3,3,4,6,2,,4,5,2,3
0022-2429,1,1,1,1,1,1,1,1,1,1,1,1,1
0022-2437,1,1,1,1,1,1,1,1,1,2,2,1,1
0022-4359,2,2,2,2,1,2,2,1,2,2,3,1,1
0033-362X,2,2,,,1,3,,2,3,,,1,
0091-3367,3,3,,3,2,3,4,2,3,3,4,2,1
0092-0703,1,2,2,2,1,2,2,1,3,2,3,1,1
0093-5301,1,1,1,1,1,1,1,1,1,2,2,1,1
0098-9258,3,3,2,,2,4,6,3,,,,2,
0148-2963,2,2,2,3,2,3,4,2,3,3,3,1,1
0167-8116,1,2,1,1,2,2,2,1,2,2,3,1,1
0195-6663,,,,,,,,,,,,2,1
0263-4503,4,4,,,4,5,8,2,,,,2,
0265-0487,4,4,,4,3,4,6,3,4,4,4,1,2
